strain	aligned_row	date	conc	embryoID	channel	intensity	normalized_intensity
wNT002	42	220914	0uM	09	ch2	5646.7686	1.00048139693534
wNT002	43	220914	0uM	09	ch2	5542.4077	0.981990974108837
wNT002	44	220914	0uM	09	ch2	5399.8271	0.956728873256346
wNT002	45	220914	0uM	09	ch2	5259.8169	0.93192218992932
wNT002	46	220914	0uM	09	ch2	5208.2168	0.922779803586447
wNT002	47	220914	0uM	09	ch2	5139.4087	0.910588543613714
wNT002	48	220914	0uM	09	ch2	5049.7896	0.894710038806542
wNT002	49	220914	0uM	09	ch2	5022.4482	0.889865752807968
wNT002	50	220914	0uM	09	ch2	5071.147	0.898494093528902
wNT002	51	220914	0uM	09	ch2	5194.6343	0.920373287659112
wNT002	52	220914	0uM	09	ch2	5461.7026	0.967691831199421
wNT002	53	220914	0uM	09	ch2	5713.1768	1.01224744817816
wNT002	54	220914	0uM	09	ch2	5773.3755	1.02291331457646
wNT002	55	220914	0uM	09	ch2	5584.3735	0.989426377466345
wNT002	56	220914	0uM	09	ch2	5300.293	0.939093651687199
wNT002	57	220914	0uM	09	ch2	5077.7334	0.899661056643483
wNT002	58	220914	0uM	09	ch2	5014.3452	0.88843008201399
wNT002	59	220914	0uM	09	ch2	5033.5659	0.891835561173536
wNT002	60	220914	0uM	09	ch2	5031.3208	0.891437779549501
wNT002	61	220914	0uM	09	ch2	4996.1748	0.885210692578611
wNT002	62	220914	0uM	09	ch2	4929.5972	0.87341462743569
wNT002	63	220914	0uM	09	ch2	4851.3545	0.859551766861592
wNT002	64	220914	0uM	09	ch2	4839.0264	0.857367502624244
wNT002	65	220914	0uM	09	ch2	4847.5806	0.858883115990385
wNT002	66	220914	0uM	09	ch2	4908.0254	0.869592585817336
wNT002	67	220914	0uM	09	ch2	4981.7915	0.8826622927599
wNT002	68	220914	0uM	09	ch2	4981.5269	0.882615411544044
wNT002	69	220914	0uM	09	ch2	4902.0894	0.868540859070076
wNT002	70	220914	0uM	09	ch2	4896.624	0.867572512142099
wNT002	71	220914	0uM	09	ch2	4986.9067	0.883568592062054
wNT002	72	220914	0uM	09	ch2	5175.6001	0.917000852138105
wNT002	73	220914	0uM	09	ch2	5286.1401	0.936586073607466
wNT002	74	220914	0uM	09	ch2	5303.4248	0.939648536765883
wNT002	75	220914	0uM	09	ch2	5460.3037	0.96744397733373
wNT002	76	220914	0uM	09	ch2	5474.187	0.969903788309174
wNT002	77	220914	0uM	09	ch2	5218.9189	0.924675976905492
wNT002	78	220914	0uM	09	ch2	4935.21	0.874409090354662
wNT002	79	220914	0uM	09	ch2	4876.8037	0.864060797241708
wNT002	80	220914	0uM	09	ch2	5007.5635	0.88722851609723
wNT002	81	220914	0uM	09	ch2	5152.3105	0.912874454689826
wNT002	82	220914	0uM	09	ch2	5166.8589	0.915452106544583
wNT002	83	220914	0uM	09	ch2	5095.2251	0.902760195583013
wNT002	84	220914	0uM	09	ch2	4984.5708	0.883154722704082
wNT002	85	220914	0uM	09	ch2	4849.4424	0.859212985407172
wNT002	86	220914	0uM	09	ch2	4710.0542	0.834516506601169
wNT002	87	220914	0uM	09	ch2	4593.0698	0.813789481248715
wNT002	88	220914	0uM	09	ch2	4542.8945	0.804899537673614
wNT002	89	220914	0uM	09	ch2	4537.4204	0.803929649299764
wNT002	90	220914	0uM	09	ch2	4515.939	0.800123624544273
wNT002	91	220914	0uM	09	ch2	4516.811	0.80027812348693
wNT002	92	220914	0uM	09	ch2	4568.1465	0.809373628613946
wNT002	93	220914	0uM	09	ch2	4627.5454	0.819897788298553
wNT002	94	220914	0uM	09	ch2	4655.7974	0.824903412298484
wNT002	95	220914	0uM	09	ch2	4678.9517	0.829005837605776
wNT002	96	220914	0uM	09	ch2	4754.4258	0.842378164036938
wNT002	97	220914	0uM	09	ch2	4824.103	0.854723409137037
wNT002	98	220914	0uM	09	ch2	4892.1177	0.866774096333275
wNT002	99	220914	0uM	09	ch2	4879.958	0.864619668818339
wNT002	100	220914	0uM	09	ch2	4844.1084	0.858267919627205
wNT002	101	220914	0uM	09	ch2	4806.1958	0.851550652868753
wNT002	102	220914	0uM	09	ch2	4742.4736	0.840260500891958
wNT002	103	220914	0uM	09	ch2	4626.1416	0.819649066262198
wNT002	104	220914	0uM	09	ch2	4577.2358	0.810984049760151
wNT002	105	220914	0uM	09	ch2	4579.6074	0.811404244361533
wNT002	106	220914	0uM	09	ch2	4523.7344	0.801504795481873
wNT002	107	220914	0uM	09	ch2	4399.3652	0.77946934834991
wNT002	108	220914	0uM	09	ch2	4316.8203	0.764844233932809
wNT002	109	220914	0uM	09	ch2	4275.6436	0.757548641487745
wNT002	110	220914	0uM	09	ch2	4255.7188	0.754018411519111
wNT002	111	220914	0uM	09	ch2	4281.9292	0.758662309554217
wNT002	112	220914	0uM	09	ch2	4283.335	0.758911385945945
wNT002	113	220914	0uM	09	ch2	4227.9526	0.749098860439298
wNT002	114	220914	0uM	09	ch2	4219.7041	0.74763741029193
wNT002	115	220914	0uM	09	ch2	4283.0532	0.75886145727388
wNT002	116	220914	0uM	09	ch2	4340.0796	0.768965262897187
wNT002	117	220914	0uM	09	ch2	4410.0918	0.781369862522275
wNT002	118	220914	0uM	09	ch2	4446.4619	0.787813832699249
wNT002	119	220914	0uM	09	ch2	4347.7051	0.770316331345845
wNT002	120	220914	0uM	09	ch2	4212.4575	0.7463534744687
wNT002	121	220914	0uM	09	ch2	4136.1519	0.732833824791186
wNT002	122	220914	0uM	09	ch2	4093.6926	0.725310984245374
wNT002	123	220914	0uM	09	ch2	4085.6768	0.723890763345662
wNT002	124	220914	0uM	09	ch2	4070.7754	0.721250567767559
wNT002	125	220914	0uM	09	ch2	4071.5073	0.721380244116333
wNT002	126	220914	0uM	09	ch2	4081.9036	0.723222236498836
wNT002	127	220914	0uM	09	ch2	4140.2803	0.733565285152269
wNT002	128	220914	0uM	09	ch2	4182.0449	0.740965040359246
wNT002	129	220914	0uM	09	ch2	4159.8906	0.737039792738487
wNT002	130	220914	0uM	09	ch2	4113.7393	0.728862812173996
wNT002	131	220914	0uM	09	ch2	4145.4004	0.734472452625086
wNT002	132	220914	0uM	09	ch2	4222.9424	0.74821116479423
wNT002	133	220914	0uM	09	ch2	4313.8618	0.764320053747201
wNT002	134	220914	0uM	09	ch2	4358.4175	0.772214329595061
wNT002	135	220914	0uM	09	ch2	4305.1953	0.762784543326863
wNT002	136	220914	0uM	09	ch2	4160.3018	0.73711264820319
wNT002	137	220914	0uM	09	ch2	4072.4741	0.721551539503673
wNT002	138	220914	0uM	09	ch2	4104.4316	0.727213695421052
wNT002	139	220914	0uM	09	ch2	4128.3267	0.731447373958527
wNT002	140	220914	0uM	09	ch2	4176.9238	0.740057695708742
wNT002	141	220914	0uM	09	ch2	4227.8877	0.749087361607442
wNT002	142	220914	0uM	09	ch2	4199.2495	0.744013311584972
wNT002	143	220914	0uM	09	ch2	4132.4492	0.73217778897126
wNT002	144	220914	0uM	09	ch2	4077.1165	0.722374069195634
wNT002	145	220914	0uM	09	ch2	4014.0286	0.711196301025407
wNT002	146	220914	0uM	09	ch2	3940.9089	0.698241121739418
wNT002	147	220914	0uM	09	ch2	3920.1294	0.694559458002105
wNT002	148	220914	0uM	09	ch2	3948.98	0.699671140565195
wNT002	149	220914	0uM	09	ch2	3975.4553	0.704361972969462
wNT002	150	220914	0uM	09	ch2	4004.3918	0.709488875095825
wNT002	151	220914	0uM	09	ch2	4003.6262	0.709353227859016
wNT002	152	220914	0uM	09	ch2	3955.5566	0.700836367338448
wNT002	153	220914	0uM	09	ch2	3912.5474	0.693216096782811
wNT002	154	220914	0uM	09	ch2	3954.2251	0.700600455248829
wNT002	155	220914	0uM	09	ch2	4050.4712	0.717653116584655
wNT002	156	220914	0uM	09	ch2	4167.7554	0.738433259807532
wNT002	157	220914	0uM	09	ch2	4247.896	0.752632385912901
wNT002	158	220914	0uM	09	ch2	4164.7017	0.737892212306166
wNT002	159	220914	0uM	09	ch2	3985.2085	0.706090022381756
wNT002	160	220914	0uM	09	ch2	3801.9639	0.673623168084086
wNT002	161	220914	0uM	09	ch2	3739.1746	0.662498305171058
wNT002	162	220914	0uM	09	ch2	3722.6262	0.659566297943235
